Article title;Author(s);Journal;Issue;Citations (WoS);CrossRef;Scopus;IUCr;Altmetric;Views;Category;Topic;Access;Keywords;Review scores
Prediction of molecular crystal structures by a crystallographic QM/MM model with full space-group symmetry;P. Mörschel and M. U. Schmidt;A;January 2015;5;5;5;0;2;665;fa;;;"crystal structure prediction; quantum mechanics/molecular mechanics; density functional theory; blind test";
Group-theoretical analysis of 1:3 A-site-ordered perovskite formation;M. V. Talanov;A;March 2019;5;5;5;0;3;2165;fa;;Open;"quadruple 1:3 A-site-ordered perovskites; group-theoretical analysis; low-symmetry phases; full set of order parameters; tilts of octahedra; archetype structure";1.0 (1)
Hard-sphere displacive model of deformation twinning in hexagonal close-packed metals. Revisiting the case of the (56°, a) contraction twins in magnesium;C. Cayron;A;July 2017;5;6;5;2;1;219;fa;;;"contraction twins; magnesium; angular distortive matrix; Schmid factor; hard spheres";3.5 (5,2)
A one-step mechanism for new twinning modes in magnesium and titanium alloys modelled by the obliquity correction of a (58°, a + 2b) prototype stretch twin;C. Cayron;A;January 2018;5;7;6;1;3;419;fa;;;"deformation twinning; magnesium alloys; titanium alloys; lattice correspondence; lattice distortion";3.0 (3)
Estimating the difference between structure-factor amplitudes using multivariate Bayesian inference;G. Katona, M.-J. Garcia-Bonete and I. V. Lundholm;A;May 2016;5;3;4;1;4;3301;sc;;Open;"experimental phasing; self-referencing; Bayesian model; time-resolved crystallography; Markov chain Monte Carlo algorithm";3.0 (3)
Merohedral twins revisited: quinary twins and beyond;M. Quiquandon, D. Gratias, A. Sirindil and R. Portier;A;January 2016;5;4;4;3;0;3637;fa;;Open;"merohedral twins; quinary twins; Dürer structure; polygonal tilings";3.5 (4,3)
Improving the efficiency of molecular replacement by utilizing a new iterative transform phasing algorithm;H. He, H. Fang, M. D. Miller, G. N. Phillips Jr and W.-P. Su;A;September 2016;5;7;6;1;2;3035;fa;;Open;"molecular replacement; hybrid input-output algorithm; ab initio phasing; protein crystallography";
An alternative to the goodness of fit;J. Henn;A;November 2016;4;3;4;1;10;738;fa;;;"fit quality indicators; goodness of fit; systematic errors";3.5 (5,2)
Selling reduction versus Niggli reduction for crystallographic lattices;L. C. Andrews, H. J. Bernstein and N. K. Sauter;A;January 2019;4;2;4;1;2;1872;fa;;;"unit-cell reduction; Delaunay; Delone; Niggli; Selling";4.0 (4)
Structure of ordered coaxial and scroll nanotubes: general approach;Z. Khalitov, A. Khadiev, D. Valeeva and D. Pashin;A;January 2016;4;2;3;2;1;550;fa;;;"multiwalled nanotubes; chiral nanotubes; scroll nanotubes; chiral indexes";2.5 (3,2)
Wiener index on rows of unit cells of the face-centred cubic lattice;H. Mujahed and B. Nagy;A;March 2016;4;2;4;0;1;181;fa;;;"Wiener index; face-centred cubic lattice; shortest paths; non-traditional grids; combinatorics on grids";3.0 (3)
A topological coordinate system for the diamond cubic grid;L. Čomić and B. Nagy;A;September 2016;4;6;4;0;1;218;fa;;;"diamond cubic grid; topological coordinate system; topological operations; abstract cell complexes; non-traditional three-dimensional grids";
A coloring-book approach to finding coordination sequences;C. Goodman-Strauss and N. J. A. Sloane;A;January 2019;4;3;4;0;3;639;fa;;;"coordination sequences; uniform tiling; dual tiling; Cairo tiling; tetravalent vertices; trivalent vertices";4.0 (4,4)
The chromatic symmetry of twins and allotwins;M. Nespolo;A;May 2019;4;3;3;0;4;166;fa;;;"allotwinning; groupoids; chromatic symmetry; twin point groups; twinning";4.0 (4,4)
Hydrogen-bond-reversal symmetry and its violation in ice nanotubes;M. V. Kirov;A;May 2016;4;4;4;0;1;167;fa;;;"ice nanotubes; proton disorder; hydrogen-bond network; antisymmetry; symmetry violation";3.0 (3,3)
Development of a joint refinement model for the spin-resolved one-electron reduced density matrix using different data sets;S. Gueddida, Z. Yan and J.-M. Gillet;A;March 2018;4;3;4;0;1;193;fa;;;"one-electron reduced density matrix; polarized neutron diffraction; magnetic Compton scattering; spin density/momentum spin density; joint refinement model";3.5 (4,3)
Nonlinear optical organic-inorganic crystals: synthesis, structural analysis and verification of harmonic generation in tri-(o-chloroanilinium nitrate);H. Athmani, C. Kijatkin, R. Benali-Cherif, S. Pillet, D. Schaniel, M. Imlau, N. Benali-Cherif and E.-E. Bendeif;A;January 2019;4;4;5;0;11;652;fa;;;"structural analysis; intermolecular interactions; Hirshfeld surface analysis; nonlinear optical properties";4.5 (5,4)
Rigid units revisited;A. E. Phillips;A;September 2018;4;3;3;1;2;1866;ss;;Free;"rigid-unit modes; silicates; perovskites; tungsten bronzes";
From direct-space discrepancy functions to crystallographic least squares;C. Giacovazzo;A;January 2015;4;4;4;2;2;515;fa;;;"least squares; scaling factors; unlocated models; vector refinement";
Computational analysis of thermal-motion effects on the topological properties of the electron density;J. R. Michael and T. Koritsanszky;A;March 2015;4;3;4;0;1;204;fa;;;"electron density; bond topological properties; mean-square displacement amplitudes; probability distribution function; standard uncertainty; equilibrium geometry";4.0 (4,4)
Identification of inversion domains in KTiOPO4 via resonant X-ray diffraction;F. Fabrizi, P. A. Thomas, G. Nisbet and S. P. Collins;A;July 2015;4;4;4;1;1;3730;fa;;Open;"resonant X-ray diffraction; synchrotron radiation; imaging; absolute structure; inversion symmetry; inversion domains; ferroelectrics";4.5 (5,4)
Diaphony, a measure of uniform distribution, and the Patterson function;W. Hornfeck and P. Kuhn;A;July 2015;4;3;3;0;1;269;fa;;;"uniform distribution; geometric discrepancy; diaphony; structure-factor equation; Patterson function";4.0 (4)
High-resolution X-ray diffraction with no sample preparation;G. M. Hansford, S. M. R. Turner, P. Degryse and A. J. Shortland;A;July 2017;4;4;6;1;39;4040;fa;;Open;"energy-dispersive XRD; back-reflection geometry; sample preparation; non-destructive analysis; cultural heritage artefacts; synchrotron experiments";3.0 (4,2)
Theoretical study of the properties of X-ray diffraction moiré fringes. I;J. Yoshimura;A;July 2015;4;7;3;0;1;3534;fa;;Open;"diffraction moiré fringes; Pendellösung oscillation; phase jump; gap phase";4.5 (5,4)
Dynamical focusing by bent, asymmetrically cut perfect crystals in Laue geometry;J. P. Guigay and C. Ferrero;A;July 2016;4;3;4;2;0;198;fa;;;"influence functions; dynamical focusing; bent perfect crystals; Laue asymmetric geometry";4.0 (4,4)
Aspects of the topology of actinide atom substructures in crystal structures and the concept of antiliquid;V. N. Serezhkin, E. F. Rogaleva, A. V. Savchenkov, D. V. Pushkin and L. B. Serezhkina;A;March 2019;4;4;4;0;3;137;fa;;;"actinides; substructures; antiliquid; Voronoi-Dirichlet polyhedra";4.0 (4)
Hyperuniformity and anti-hyperuniformity in one-dimensional substitution tilings;E. C. Oǧuz, J. E. S. Socolar, P. J. Steinhardt and S. Torquato;A;January 2019;4;5;4;1;2;2513;fa;aperiodic 2018;Open;"substitution tiling; hyperuniformity; diffraction; limit-periodic tilings; non-Pisot tilings; quasiperiodic tilings";4.5 (5,4)
Indirect Fourier transform in the context of statistical inference;M. Muthig, S. Prévost, R. Orglmeister and M. Gradzielski;A;September 2016;4;4;3;0;1;288;fa;;;"indirect Fourier transform (IFT); Bayesian statistical inference; model selection; frequentist statistical inference";
Estimating the structure factors in X-ray diffraction;P. F. Fewster;A;September 2018;4;3;4;1;2;2595;fa;;Open;"structure factors; imperfect crystals; diffraction theory; serial crystallography; powder diffraction";3.3 (5,3,2)
Absolute refinement of crystal structures by X-ray phase measurements;S. L. Morelhão, Z. G. Amirkhanyan and C. M. R. Remédios;A;May 2015;3;3;3;2;1;305;fa;;;"single crystals; chirality; invariant phase triplets; X-ray diffraction";2.5 (3,2)
Improving the convergence rate of a hybrid input-output phasing algorithm by varying the reflection data weight;H. He and W.-P. Su;A;January 2018;3;3;3;0;1;491;fa;;;"iterative projection algorithm; hybrid input-output; data weighting; ab initio phasing; protein crystallography";2.5 (3,2)
Temperature-dependent atomic B factor: an ab initio calculation;C. Malica and A. Dal Corso;A;July 2019;3;3;3;0;1;465;fa;;;"Debye-Waller factors; density functional theory; ab initio phonons; X-ray diffraction; thermal properties";3.5 (4,3)
Refinement of organic crystal structures with multipolar electron scattering factors;B. Gruza, M. L. Chodkiewicz, J. Krzeszczakowska and P. M. Dominiak;A;January 2020;3;4;3;0;4;744;fa;;;"electron crystallography; electron microscopy; electron diffraction; aspherical scattering factors; structure refinement; transferable aspherical atom model (TAAM); quantum crystallography; micro-electron diffraction; cryo-electron microscopy";3.0 (3)
Orbits of crystallographic embedding of non-crystallographic groups and applications to virology;R. Twarock, M. Valiunas and E. Zappa;A;November 2015;3;3;3;0;1;408;fa;;;"orbits; non-crystallographic symmetry; icosahedral viruses; computational group theory";2.3 (4,2,1)
A table of geometrical ambiguities in powder indexing obtained by exhaustive search;R. Oishi-Tomiyasu;A;January 2016;3;3;3;1;1;506;fa;;;"powder indexing; geometrical ambiguity; derivative lattices; computer programs; multiple solutions";3.0 (3,3)
Convex polyhedra with minimum and maximum names;Y. L. Voytekhovsky;A;May 2017;3;3;2;2;1;133;sc;;;"convex polyhedra; edge graph; adjacency matrix; minimum name; maximum name";3.0 (3)
A simple approach to estimate isotropic displacement parameters for hydrogen atoms;A.Ø. Madsen and A. A. Hoser;A;March 2015;3;3;3;1;1;435;fa;;;"hydrogen atoms; isotropic thermal motion; displacement parameters";
Icosahedral symmetry breaking: C60 to C84, C108 and to related nanotubes;M. Bodner, E. Bourret, J. Patera and M. Szajewska;A;May 2015;3;4;4;1;1;234;fa;;;"finite Coxeter group; symmetry breaking; fullerenes; nanotubes";4.0 (4,4)
Topological crystallography of gas hydrates;S. V. Gudkovskikh and M. V. Kirov;A;July 2015;3;2;3;0;2;220;fa;;;"topological crystallography; quotient graph; clathrate hydrates; proton disorder";3.0 (4,3,2)
Direct observation of incommensurate structure in Mo3Si;A. Gulec, X. Yu, M. Taylor, J. H. Perepezko and L. Marks;A;November 2016;3;2;3;1;1;439;fa;;;"Mo3Si; incommensurate structure; transmission electron microscopy; atom-probe tomography; electron diffraction";4.0 (5,3)
Hyperbolic crystallography of two-periodic surfaces and associated structures;M. C. Pedersen and S. T. Hyde;A;March 2017;3;4;3;1;2;310;fa;;;"hyperbolic geometry; hyperbolic crystallography; constant mean curvature surfaces";3.5 (4,3)
Thermoelectric transport properties in magnetically ordered crystals;H. Grimmer;A;July 2017;3;3;0;1;;264;fa;;;"thermoelectricity; transport properties; magnetic order; galvanomagnetic effects; thermomagnetic effects";3.0 (3)
X-ray molecular orbital analysis. I. Quantum mechanical and crystallographic framework;K. Tanaka;A;July 2018;3;4;3;0;2;222;fa;;;"X-ray molecular orbital analysis (XMO); molecular orbitals; least-squares method";4.0 (5,3)
A study of X-ray multiple diffraction by means of section topography;V. G. Kohn and I. A. Smirnova;A;September 2015;3;3;3;1;1;174;fa;;;"X-ray diffraction; section topography; multiple diffraction; computer simulations; laboratory study";3.3 (4,3,3)
Spatio-temporal symmetry - crystallographic point groups with time translations and time inversion;V. S. Liu, B. K. VanLeeuwen, J. M. Munro, H. Padmanabhan, I. Dabo, V. Gopalan and D. B. Litvin;A;July 2018;3;3;3;0;2;229;sc;;;"spatio-temporal symmetry; time translations; time inversion; point groups";3.0 (3,3)
Computer simulations of X-ray spherical wave dynamical diffraction in one and two crystals in the Laue case;V. G. Kohn and I. A. Smirnova;A;November 2018;3;3;2;0;2;122;fa;;;"X-ray diffraction; diffraction focusing; compound refractive lens; synchrotron radiation; XFEL energy spectrometer";3.0 (3)
The characteristic radiation of copper Kα1,2,3,4;H. A. Melia, C. T. Chantler, L. F. Smale and A. J. Illig;A;May 2019;3;3;3;0;1;350;fa;;;"X-ray characteristic radiation; Cu Kα; profile analysis; X-ray spectroscopy; shake probability";3.0 (3,3)
Coherent diffraction imaging: consistency of the assembled three-dimensional distribution;M. Tegze and G. Bortel;A;July 2016;3;4;5;3;2;363;fa;;;"single-particle imaging; coherent diffraction imaging; X-ray free-electron lasers; XFELs; orientation";3.5 (4,3)
Miniaturized beamsplitters realized by X-ray waveguides;S. Hoffmann-Urlaub and T. Salditt;A;September 2016;3;3;5;0;0;568;fa;;;"X-ray waveguides; X-ray interferometry; phase retrieval; coherence; coherent imaging";
Inferring the one-electron reduced density matrix of molecular crystals from experimental data sets through semidefinite programming;B. De Bruyne and J.-M. Gillet;A;January 2020;3;2;3;0;1;933;fa;;;"one-electron reduced density matrix; X-ray diffraction; Compton diffusion; semidefinite programming";4.5 (5,4)
Mathematical aspects of molecular replacement. III. Properties of space groups preferred by proteins in the Protein Data Bank;G. Chirikjian, S. Sajjadi, D. Toptygin and Y. Yan;A;March 2015;3;2;3;1;1;235;fa;;;"Bieberbach groups; Sohncke groups; protein crystals; normal subgroups";
Vertex-connectivity in periodic graphs and underlying nets of crystal structures;J.-G. Eon;A;May 2016;3;3;3;1;1;158;fa;;;"vertex-connectivity; periodic graphs; nets; labelled quotient graphs";4.5 (5,4)
The phase problem for two-dimensional crystals. I. Theory;R. D. Arnal and R. P. Millane;A;November 2017;3;4;4;1;3;319;fa;;;"phase problem; two-dimensional crystals; XFELs; ab initio phasing";4.0 (4)
Monoclinic sphere packings. I. Invariant, univariant and bivariant lattice complexes;H. Sowa and W. Fischer;A;May 2016;3;3;3;3;1;203;fa;;;"sphere packings; monoclinic crystal system; invariant lattice complexes; univariant lattice complexes; bivariant lattice complexes";4.0 (4,4)
Resonant and non-resonant magnetic scatterings with circularly polarized X-rays: magnetic scattering factor and electron density of gadolinium iron garnet;Y. Sasaki, M. Okube and S. Sasaki;A;May 2017;3;3;3;1;2;350;fa;;;"resonant magnetic scattering; non-resonant effects; circular polarization; Gd iron garnet; Gd3Fe5O12";2.5 (3,2)
A projection-based reformulation of the coincident site lattice Σ for arbitrary bicrystals at finite temperature;B. Runnels;A;March 2017;3;2;3;1;1;389;fa;;;"grain boundaries; coincident site lattice";4.0 (4)
{\bb Z}-module defects in crystals;A. Sirindil, M. Quiquandon and D. Gratias;A;November 2017;3;3;3;2;;1748;fa;;Open;"{\bb Z}-modules; intermetallic alloys; defects; twins; dislocations";2.0 (3,1)
Rotational switches in the two-dimensional fullerene quasicrystal;M. Paßens and S. Karthäuser;A;January 2019;3;3;3;1;2;2492;fa;aperiodic 2018;Open;"rotational switches; fullerenes; interfacial interactions; geometric frustration; dodecagonal quasicrystals; square-triangle tiling; scanning tunneling microscopy";3.5 (4,3)
Neutron interferometric measurement and calculations of a phase shift induced by Laue transmission;T. Potocar, M. Zawisky, H. Lemmel, J. Springer and M. Suda;A;September 2015;3;3;3;0;1;161;fa;;;"Neutron interferometry; perfect crystal interferometer; large-area interferometer; dynamical diffraction; beam deflection; neutron-electron scattering lengths";3.0 (4,2)
Diffuse single-crystal scattering corrected for molecular form factor effects;E. Schmidt and R. B. Neder;A;May 2017;3;3;2;0;2;469;fa;;;"diffuse scattering; molecular form factors";3.0 (4,2)
On representing rotations by Rodrigues parameters in non-orthonormal reference systems;A. Morawiec;A;September 2016;2;1;2;0;1;277;fa;;;"lattices; rotation representation; Rodrigues parameters; quaternions; frames";
Explicit construction of the Voronoi and Delaunay cells of W(An) and W(Dn) lattices and their facets;M. Koca, N. Ozdes Koca, A. Al-Siyabi and R. Koc;A;September 2018;2;2;2;0;4;211;fa;;;"lattices; Coxeter-Weyl groups; Voronoi and Delone cells; volumes of regular polytopes";2.0 (3,1)
Bayesian machine learning improves single-wavelength anomalous diffraction phasing;M.-J. Garcia-Bonete and G. Katona;A;November 2019;2;3;3;0;1;1776;fa;;Open;"single-wavelength X-ray anomalous diffraction; SAD; Friedel pairs; Bijvoet pairs; continuous rotation data collection; inverse-beam geometry; Bayesian inference; survivin";4.0 (4,4)
Color groups arising from index-n subgroups of symmetry groups;R. P. Felix and A. O. Junio;A;March 2015;2;2;3;0;1;175;fa;;;"perfect coloring; color symmetry; color groups; orbits";2.5 (3,2)
Periodic entanglement III: tangled degree-3 finite and layer net intergrowths from rare forests;M. E. Evans and S. T. Hyde;A;November 2015;2;2;2;0;1;270;fa;;;"periodic entanglement; networks; hyperbolic reticulations; tilings; crystal nets; frameworks; Borromean nets; surfaces; graphs; catenation; enumeration";4.5 (5,4)
Symmetry-adapted digital modeling II. The double-helix B-DNA;A. Janner;A;May 2016;2;2;2;0;1;165;fa;;;"symmetry; biomacromolecules; higher-dimensional space";
Symmetry-adapted digital modeling I. Axial symmetric proteins;A. Janner;A;May 2016;2;2;2;0;1;171;fa;;;"symmetry; biomacromolecules; higer-dimensional space";
2-Periodic self-dual tilings;O. Delgado-Friedrichs and M. O'Keeffe;A;January 2017;2;2;2;1;3;660;fa;;;"nets; self-dual tilings";3.0 (3,3,3)
Ordering of convex polyhedra and the Fedorov algorithm;Y. L. Voytekhovsky;A;January 2017;2;2;2;2;1;510;sc;;;"convex n-acra; Fedorov algorithm; simple and non-simple polyhedra; extra valencies; weak ordering of n-acra";3.0 (3)
Anomalous small viral shells and simplest polyhedra with icosahedral symmetry: the rhombic triacontahedron case;V. V. Pimonov, O. V. Konevtsova and S. B. Rochal;A;January 2019;2;2;2;0;2;625;fa;;;"capsid structures; Caspar and Klug model; spherical lattice; icosahedral symmetry";3.0 (3)
The Fedorov-Groth law revisited: complexity analysis using mineralogical data;S. V. Krivovichev and V. G. Krivovichev;A;May 2020;2;2;2;0;1;76;sc;;;"symmetry; chemical composition; complexity; Shannon information; Fedorov-Groth law";3.5 (4,3)
Analysis of multicrystal pump-probe data sets. II. Scaling of ratio data sets;B. Fournier, J. Sokolow and P. Coppens;A;March 2016;2;2;2;1;1;192;fa;;;"data scaling; RATIO method; absorption anisotropy; photocrystallography; residual analysis";
Thermal evolution of Mg-Al and Ni-Al layered double hydroxides: the structure of the dehydrated phase;S. Cherepanova, N. Leont'eva, V. Drozdov and V. Doronin;A;November 2016;2;2;2;1;1;463;fa;100 years of the Debye scattering equation;;"layered double hydroxides; diffraction-pattern simulation; hydrotalcite structure; turbostratic disorder";
A Markov theoretic description of stacking-disordered aperiodic crystals including ice and opaline silica;A. G. Hart, T. C. Hansen and W. F. Kuhs;A;July 2018;2;3;3;1;2;169;fa;;;"aperiodic crystals; Markov chains; Markov models; chaotic crystallography";3.0 (3,3)
Isotopy classes for 3-periodic net embeddings;S. C. Power, I. A. Baburin and D. M. Proserpio;A;May 2020;2;2;2;0;4;1397;la;;Open;"periodic nets; embedded nets; coordination polymers; isotopy types; crystallographic frameworks";4.5 (5,4)
Grazing-incidence small-angle X-ray scattering in a twofold rough-interface medium: a new theoretical approach using the q-eigenwave formalism;F. N. Chukhovskii and B. S. Roshchin;A;November 2015;2;2;2;0;1;266;fa;;;"grazing-incidence small-angle X-ray scattering; statistically rough surface; eigenfunctions method";4.0 (5,3)
Faces of root polytopes in all dimensions;M. Szajewska;A;July 2016;2;1;1;1;1;246;fa;;;"finite Coxeter groups; root polytopes; Lie groups; Lie algebra";4.0 (4)
Theoretical analysis of reflection high-energy electron diffraction (RHEED) and reflection high-energy positron diffraction (RHEPD) intensity oscillations expected for the perfect layer-by-layer growth;Z. Mitura;A;September 2015;2;2;3;0;0;292;fa;;;"RHEED; RHEPD; dynamical diffraction theory; nanolayers";1.0 (1)
Computer simulations of X-ray six-beam diffraction in a perfect silicon crystal. I;V. G. Kohn and D. R. Khikhlukha;A;May 2016;2;3;3;1;1;196;fa;;;"X-ray diffraction; silicon crystal; six-beam diffraction; section topography; computer simulations";3.5 (4,3)
Computer simulations of X-ray six-beam diffraction in a perfect silicon crystal. II;V. G. Kohn;A;January 2017;2;2;2;2;1;467;fa;;;"X-ray diffraction; silicon crystal; six-beam diffraction; section topography; computer simulations";3.3 (4,3,3)
Close-packed structures with finite-range interaction: computational mechanics of layer pair interaction;E. Rodriguez-Horta, E. Estevez-Rams, R. Neder and R. Lora-Serrano;A;July 2017;2;1;2;1;2;136;fa;;;"polytypes; Ising model; computational mechanics";
Image definition evaluation functions for X-ray crystallography: a new perspective on the phase problem;H. Li, M. He and Z. Zhang;A;September 2015;2;2;1;0;2;371;fa;;;"phase problem; image definition evaluation functions; power spectrum entropy; iteration algorithms; charge-density maps";3.5 (4,3)
Borates or phosphates? That is the question;J. Contreras-García, F. Izquierdo-Ruiz, M. Marqués and F. J. Manjón;A;March 2020;2;1;2;0;2;281;fa;;;"borates; topology; electron density; nomenclature";3.5 (4,3)
Determination of small crystal structures from a minimum set of diffraction intensities by homotopy continuation;D. Leggas and O. V. Tsodikov;A;May 2015;2;2;2;0;1;189;fa;;;"direct methods; phase problem; algebraic geometry, ambiguity";3.5 (4,3)
Temperature- and energy-dependent phase shifts of resonant multiple-beam X-ray diffraction in germanium crystals;P.-Y. Liao, W.-C. Liu, C.-H. Cheng, Y.-H. Chiu, Y.-Y. Kung and S.-L. Chang;A;July 2015;2;2;2;1;1;150;fa;;;"resonant phase shifts; temperature dependence; energy dependence; X-ray multiple diffraction; Ge crystals";3.5 (4,3)
Mathematical aspects of molecular replacement. IV. Measure-theoretic decompositions of motion spaces;G. S. Chirikjian, S. Sajjadi, B. Shiffman and S. M. Zucker;A;September 2017;2;2;2;0;1;248;fa;;;"fundamental domain; molecular replacement; measure theory; coset space; discrete subgroup";1.5 (2,1)
Model-independent extraction of the shapes and Fourier transforms from patterns of partially overlapped peaks with extended tails;M. H. Mendenhall and J. P. Cline;A;January 2019;2;2;2;0;2;532;fa;;;"Fourier transforms; microstructure; hook effect; powder diffraction";2.5 (3,2)
Scanning of two-dimensional space groups;D. B. Litvin;A;January 2015;2;2;2;0;1;452;sc;;;"scanning; frieze groups; two-dimensional space groups";
Quantitative theory of diffraction by ordered coaxial nanotubes: reciprocal-lattice and diffraction pattern indexing;Z. Khalitov, A. Khadiev, D. Valeeva and D. Pashin;A;November 2016;2;2;2;1;1;288;fa;;;"multiwalled nanotubes; chiral nanotubes; coaxial nanotubes; diffraction pattern indexing";1.5 (2,1)
Sphere packings as a tool for the description of martensitic phase transformations;H. Sowa;A;January 2017;2;2;2;0;0;727;fa;;;"sphere packings; martensitic transformations; orientation relationships; group-subgroup relations";3.0 (3)
A note on X-ray spherical wavefields in the Laue case for perfect crystals;T. Saka;A;November 2017;2;2;2;2;1;136;fa;;;"X-ray diffraction; dynamical theory; Laue case; spherical wavefields; resonant scattering";3.0 (3,3)
Dependence of X-ray plane-wave rocking curves on the deviation from exact Bragg orientation in and perpendicular to the diffraction plane for the asymmetrical Laue case;M. K. Balyan;A;May 2018;2;3;3;1;1;212;fa;;;"X-ray rocking curves; dynamical diffraction; Laue diffraction; deviation angle";3.0 (4,2)
Extrinsic faulting in 3C close-packed crystal structures: computational mechanics analysis;E. Estevez-Rams, R. Lora-Serrano, A. Penton-Madrigal and M. Nespolo;A;November 2017;2;0;2;0;1;153;fa;;;"close-packed structures; polytypes; planar faulting; extrinsic faults";3.0 (4,2)
Grazing-incidence small-angle X-ray scattering study of correlated lateral density fluctuations in W/Si multilayers;K. V. Nikolaev, S. N. Yakunin, I. A. Makhotkin, J. Rie, R. V. Medvedev, A. V. Rogachev, I. N. Trunckin, A. L. Vasiliev, C. P. Hendrikx, M. Gateshki, R. W. E. Kruijs and F. Bijkerk;A;March 2019;2;3;3;0;2;2153;fa;;Open;"diffuse scattering; density fluctuations; multilayer coatings; thin films";3.5 (4,3)
Structure-mining: screening structure models by automated fitting to the atomic pair distribution function over large numbers of models;L. Yang, P. Juhás, M. W. Terban, M. G. Tucker and S. J. L. Billinge;A;May 2020;2;3;3;0;3;1515;fa;;Open;"pair distribution function; PDF; automated fitting; atomic structure; structure discovery";3.0 (5,1)
X-ray investigation of lateral hetero-structures of inversion domains in LiNbO3, KTiOPO4 and KTiOAsO4;T. S. Lyford, S. P. Collins, P. F. Fewster and P. A. Thomas;A;May 2015;2;2;2;2;1;2925;fa;;Open;"ferroelectrics; diffraction; coherence; synchrotron radiation; grating";4.0 (4)
Intensity distribution profile of double Bragg scattering in the small-angle region from highly oriented pyrolytic graphite;Y. Ohmasa and A. Chiba;A;November 2018;2;3;2;0;2;149;fa;;;"double Bragg scattering; small-angle X-ray scattering; highly oriented pyrolytic graphite; HOPG; intensity profiles";3.5 (4,3)
Resolving 500 nm axial separation by multi-slice X-ray ptychography;X. Huang, H. Yan, Y. He, M. Ge, H. Öztürk, Y.-L. L. Fang, S. Ha, M. Lin, M. Lu, E. Nazaretski, I. K. Robinson and Y. S. Chu;A;March 2019;2;2;3;0;2;1986;fa;;Open;"X-ray ptychography; multi-slice approach; nanostructures";2.0 (3,1)
Three new crystal structures in the Na-Pb system: solving structures without additional experimental input;L. Ward, K. Michel and C. Wolverton;A;September 2015;1;3;1;0;1;331;fa;;;"Na-Pb binary; structure solution; FPASS";4.0 (5,3)
Monte Carlo simulation of an anharmonic Debye-Waller factor to the T4 order;K. Wang, X. Huang, J. Li, Q. Xu, J. Dan and X. Ren;A;March 2017;1;1;1;0;0;178;fa;;;"X-ray diffraction; Debye-Waller factor; temperature measurement; Monte Carlo simulation";2.0 (3,1)
Real-time detection and resolution of atom bumping in crystallographic models;Y. Liu;A;September 2017;1;1;1;1;2;194;fa;;;"real-time collision detection; sweep and prune algorithm; direct-space methods; anti-bumping algorithm";2.0 (2)
Comments on A new theory for X-ray diffraction;J. T. Fraser and J. S. Wark;A;September 2018;1;1;2;1;3;3860;fa;;Open;"diffraction theory; powder diffraction; small crystals";4.7 (5,5,4)
The fundamentals of crystal orientation;D. Dragoi;A;May 2018;1;1;1;1;2;1008;fa;;;"exact solution for crystal orientation; parametric crystal orientation; stereographic projection; extended stereographic projection; linked spherical triangles";4.0 (4,4)
Fast analytical evaluation of intermolecular electrostatic interaction energies using the pseudoatom representation of the electron density. I. The Löwdin α-function method;D. Nguyen, Z. Kisiel and A. Volkov;A;September 2018;1;2;2;1;3;205;fa;;;"electrostatic interaction energy; charge density; pseudoatom model";3.5 (4,3)
Response to Fraser & Wark's comments on A new theory for X-ray diffraction;P. F. Fewster;A;September 2018;1;0;1;1;3;10207;fa;;Open;"diffraction theory; powder diffraction; small crystals";4.0 (5,3)
On two special classes of parallelohedra in E6;P. Engel;A;May 2019;1;1;1;0;1;75;fa;;;"translation lattices; parallelohedra; cone of positive quadratic forms; Σ-subcones";3.0 (4,3,2)
Fast analytical evaluation of intermolecular electrostatic interaction energies using the pseudoatom representation of the electron density. II. The Fourier transform method;D. Nguyen and A. Volkov;A;May 2019;1;1;1;0;1;218;fa;;;"electrostatic interaction energy; charge density; pseudoatom model; Fourier transform; Löwdin α-function";4.5 (5,4)
A space for lattice representation and clustering;L. C. Andrews, H. J. Bernstein and N. K. Sauter;A;May 2019;1;1;1;0;2;1609;fa;;Open;"unit-cell reduction; Delaunay; Delone; Niggli; Selling; clustering";3.5 (4,3)
Multipole electron densities and atomic displacement parameters in urea from accurate powder X-ray diffraction;B. Svane, K. Tolborg, L. R. Jørgensen, M. Roelsgaard, M. R. V. Jørgensen and B. Brummerstedt Iversen;A;July 2019;1;2;1;0;2;938;fa;;;"electron density; powder diffraction; vacuum measurements; molecular crystals; synchrotron radiation";4.5 (5,4)
A combined model of electron density and lattice dynamics refined against elastic diffraction data. Thermodynamic properties of crystalline l-alanine;I. Sovago, A. A. Hoser and A.Ø. Madsen;A;January 2020;1;1;1;0;2;406;fa;;;"thermal motion; charge density; thermodynamics; modeling";4.0 (4,4)
Converting three-space matrices to equivalent six-space matrices for Delone scalars in S6;L. C. Andrews, H. J. Bernstein and N. K. Sauter;A;January 2020;1;0;0;0;4;1296;fa;;Open;"Delaunay; Delone; centering transformations; centered lattices; reduced cells; lattice centering; Niggli; Selling; matrix transformations";3.0 (3,3)
The atomic structure of the Bergman-type icosahedral quasicrystal based on the Ammann-Kramer-Neri tiling;I. Buganski, J. Wolny and H. Takakura;A;March 2020;1;1;0;0;5;1424;fa;;Open;"Bergman quasicrystal; atomic structure; average unit cell";3.5 (4,3)
